[     297ms] [LOG] %c欢迎使用CesiumTdt插件，%c该插件由Jason提供，%c目前支持1.120版本 color: green; font-size: 16px; font-weight: bold; color: blue; font-size: 14px; font-style: italic; color: red; font-size: 14px; font-weight: bold; @ http://localhost:8080/lib/cesiumTdt.js:0
[  889924ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 833 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  889924ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 832 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  889952ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 828 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  890005ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 834 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  890486ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 833 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  890513ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 834 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  890575ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 835 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  890575ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 835 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892483ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 833 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892636ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 834 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892637ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 835 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892700ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 418 Y: 97 Level: 8. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892772ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 833 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892805ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 832 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892815ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 835 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  892871ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 834 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  899862ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 836 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  899899ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 836 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  903772ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 836 Y: 194 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
[  904042ms] [LOG] An error occurred in "": Failed to obtain terrain tile X: 836 Y: 195 Level: 9. Error message: "undefined" @ https://cesium.com/downloads/cesiumjs/releases/1.120/Build/Cesium/Cesium.js:85
